Date,AAPL,AMZN,GOOG,IBM,INTC,META,ORCL,NVDA,MSFT,TSLA
6/7/2021,,,23850000,,,20136700,10445600,,,
6/8/2021,74403800,68334000,25060000,5313785,0,0,10726800,0,0,0
6/9/2021,0,49110000,0,5547252,0,0,0,0,0,0
6/10/2021,0,69530000,31234000,0,26738100,13240200,0,28777200,24563600,71758800
6/11/2021,53522400,0,0,3596462,18119700,0,11066500,41630800,0,0
6/14/2021,96906500,51394000,22550000,0,21784500,12250800,0,32137600,19150500,61272000
6/15/2021,0,0,0,0,0,0,0,0,0,0
6/16/2021,0,84056000,0,0,0,0,0,30712400,0,66432300
6/17/2021,96721700,102730000,25756000,0,21498800,17794100,14836100,80965600,27565500,68104200
6/18/2021,0,104954000,0,0,0,0,0,0,0,73682700
6/21/2021,79663300,0,26256000,4482633,19254600,11337500,8924300,0,26696100,0
6/22/2021,74783600,66902000,20984000,0,0,15345300,9845800,58014400,24694100,57476700
6/23/2021,0,0,0,0,0,14817800,0,33235600,0,93297600
6/24/2021,0,0,18934000,0,21209700,12329100,0,0,21446900,137947200
6/25/2021,0,0,33484000,3759533,0,0,12845000,0,0,0
6/28/2021,62111300,44856000,0,0,22480900,29156100,5605400,49543600,19590000,64884600
6/29/2021,64556100,41968000,0,2540211,0,0,0,36763200,19937800,0
6/30/2021,63261400,0,0,3394375,0,0,7899800,32656800,21656500,0
7/1/2021,52485800,0,17120000,0,0,17137000,13108000,48013600,16725300,0
7/2/2021,78852600,63388000,21160000,0,17219400,0,15258100,34276400,26458000,0
7/6/2021,108181800,134896000,21350000,0,0,0,14200400,0,0,0
7/7/2021,104911600,0,0,4246446,0,0,20976600,0,23260000,0
7/8/2021,105575500,103612000,19780000,5739820,19162000,0,16383300,50330000,24618600,68319900
7/9/2021,99890800,0,15106000,4083689,18708000,13018700,15685300,29662400,23916700,54421500
7/12/2021,0,0,16944000,0,15392800,10018600,0,32198400,0,77781000
7/13/2021,100827100,0,16618000,0,15716000,11456000,12789300,0,26120100,0
7/14/2021,127050800,0,17912000,0,0,0,13330500,0,23113700,0
7/15/2021,0,0,0,3807126,0,0,0,0,0,0
7/16/2021,0,0,14856000,0,0,0,14617500,0,0,0
7/19/2021,0,75692000,0,8977086,27007700,0,15619900,74906000,0,63891300
7/20/2021,96350000,65114000,19084000,0,19867000,11024300,12813900,0,26259700,46461300
7/21/2021,0,46380000,14742000,5024984,18497200,9279700,13108100,37101700,24364300,0
7/22/2021,77338200,65308000,13608000,0,0,12385400,13638900,0,23384100,0
7/23/2021,71447400,48726000,26378000,4680013,0,33694300,0,0,22768100,0
7/26/2021,72434100,58002000,23052000,4441630,32881200,14925200,10454100,0,23176100,76009800
7/27/2021,0,0,0,3281302,39878000,0,8465200,0,0,0
7/28/2021,118931200,0,0,0,28478800,0,0,20219100,0,0
7/29/2021,56699500,0,19284000,0,16886600,0,0,19078100,18168300,91183800
7/30/2021,70440600,0,0,0,16465700,15976200,0,18349700,0,88969200
8/2/2021,0,0,20140000,0,0,0,0,21744400,0,100847400
8/3/2021,64786600,83146000,19064000,4272596,16375900,0,9889800,30181100,17879000,0
8/4/2021,0,0,0,0,0,14180600,7509900,23130900,16191300,0
8/5/2021,46397700,48670000,11866000,0,0,10247200,0,21143500,13900200,0
8/6/2021,0,0,13560000,4002833,19256000,8925000,6513900,0,16589300,0
8/9/2021,0,0,12374000,0,0,0,5798700,0,0,44145900
8/10/2021,0,0,16034000,5543695,0,0,5473300,0,0,0
8/11/2021,0,0,0,4455960,0,0,0,0,0,0
8/12/2021,72282600,46282000,14646000,2184780,0,7170700,5687200,15165200,14561300,52377300
8/13/2021,59375000,0,12580000,1997965,0,7195700,0,18306300,18249000,0
8/16/2021,103296000,66394000,18040000,2913319,17690300,11222100,7122800,0,22507600,0
8/17/2021,0,0,0,0,0,0,0,0,20075300,0
8/18/2021,0,0,0,0,0,0,0,0,0,61048200
8/19/2021,86960300,0,18296000,0,22999400,12004500,8099400,76655500,29850500,0
8/20/2021,60549600,0,15564000,2780059,0,8697700,8716400,67574100,40817600,0
8/23/2021,60131800,65362000,21090000,0,23976300,10942000,0,57580700,22830200,60794700
8/24/2021,48606400,51036000,15126000,2474418,20348800,9235100,0,29729900,0,0
8/25/2021,0,0,12838000,0,0,9684500,5748500,34770100,0,37936800
8/26/2021,0,41976000,0,0,0,0,0,0,0,0
8/27/2021,55802400,48048000,24562000,2572637,16525000,11219100,5426800,30472200,22605700,41501400
8/30/2021,90956700,63844000,16916000,0,0,13547300,0,0,16348100,55812600
8/31/2021,0,87128000,0,4429915,0,0,0,0,0,62566200
9/1/2021,0,0,15824000,0,0,11567200,8208000,0,0,39612900
9/2/2021,0,0,0,2840413,0,0,0,0,0,0
9/3/2021,57808700,51514000,19104000,0,13456200,7509600,8456900,28053200,14747900,45738300
9/7/2021,82278300,54758000,15170000,0,13915000,10793800,0,0,0,60119400
9/8/2021,0,61068000,0,3122728,0,0,8851200,0,15046800,0
9/9/2021,0,0,14798000,0,0,9098900,0,0,0,42233100
9/10/2021,0,0,0,0,0,0,10547400,24837600,0,0
9/13/2021,0,0,20176000,0,22639200,0,0,0,0,68857500
9/14/2021,0,0,0,0,0,0,22714200,0,21853400,55574700
9/15/2021,83281300,59150000,20648000,3403579,18796200,0,14951100,16653800,28356300,46073100
9/16/2021,68034100,51672000,0,0,0,11934200,0,15603300,19550800,41770200
9/17/2021,0,0,0,0,0,0,58069000,0,0,84612600
9/20/2021,0,0,34918000,4990152,0,0,13897700,0,0,0
9/21/2021,0,0,0,0,0,0,11124400,0,0,48992100
9/22/2021,76404300,48228000,22068000,3767901,18594100,0,9908000,26872600,26626300,45378900
9/23/2021,64838200,47588000,17272000,3151807,16474300,21806300,9720200,24855500,18604600,0
9/24/2021,53477900,42324000,14950000,3100762,12976200,18801900,7617800,21765500,14999000,64119000
9/27/2021,0,72690000,0,3459017,13899900,15205800,11533000,0,0,84212100
9/28/2021,0,0,0,0,0,0,0,0,0,0
9/29/2021,74602000,0,0,3947499,0,0,12007300,0,0,62828700
9/30/2021,0,0,0,0,0,0,0,0,0,0
10/1/2021,94639600,0,28388000,6907889,19895100,14905300,13320900,0,30086300,0
10/4/2021,0,0,0,7689251,0,0,0,0,0,0
10/5/2021,80861100,65384000,24126000,0,18129400,35377900,9788600,27928200,24993000,0
10/6/2021,83221100,50660000,19764000,0,20059600,26443000,10268300,29720200,28002600,43898400
10/7/2021,61732700,48182000,18250000,0,0,0,9124400,0,0,57587400
10/8/2021,0,0,18924000,3902940,0,0,13202300,0,0,0
